-0.000113742    -0.786362    -0.174021            1  1.07948e-05 -0.000702394    -0.114021 -8.00779e-05    -0.786364    -0.447494   -0.0979942 -6.54279e-18
    0.786488 -5.72287e-06     0.156225 -1.07312e-05            1  9.06564e-05     0.156224     0.786482 -1.15246e-05  1.11544e-06  -9.8495e-06        0.098
    0.173951    -0.156776 -0.000136394  0.000702395 -9.06488e-05            1 -9.42501e-05     0.113949    -0.156777    0.0151741     -0.13399        0.079
